Sizes	Times
10	2845576
10	1463843
10	4114485
10	4701046
20	29203368
20	11817539
20	24814424
20	40255673
40	92811924
40	461581081
40	212150087
40	360177862
60	1852542399
60	321209372
60	2747993984
60	2829388113
80	534685963
80	7419726457
80	458207759
80	1988902336
100	13178761449
100	5961718272
100	11990055951
100	5521737736
150	39919760893
150	27982328665
150	126220337231
150	12145997267
200	18124412389
200	288716449405
200	200658514712
200	59923292078
250	553138252440
250	149254561080
250	150177598248
250	361091504135
300	1021539883278
300	1180770642245
300	39894282787
300	894161565749
350	1001668767943
350	4088259850105
350	2417118799172
350	1498344309163
400	4858928418312
400	6569555022419
400	4044444408951
400	6234249281966
450	7719417006532
450	6901004138200
450	5301980727800
450	6967723024511
500	10364903749855
500	12286833195889
500	18634216221420
500	20444891719644
