File	Size of Cut
input_random_01_10.txt	3056
input_random_02_10.txt	223
input_random_03_10.txt	2302
input_random_04_10.txt	4974
input_random_05_20.txt	1526
input_random_06_20.txt	1684
input_random_07_20.txt	522
input_random_08_20.txt	2866
input_random_09_40.txt	2137
input_random_10_40.txt	1446
input_random_11_40.txt	648
input_random_12_40.txt	2486
input_random_13_60.txt	1282
input_random_14_60.txt	299
input_random_15_60.txt	2113
input_random_16_60.txt	159
input_random_17_80.txt	969
input_random_18_80.txt	1756
input_random_19_80.txt	714
input_random_20_80.txt	2610
input_random_21_100.txt	341
input_random_22_100.txt	890
input_random_23_100.txt	772
input_random_24_100.txt	1561
input_random_25_150.txt	951
input_random_26_150.txt	424
input_random_27_150.txt	1153
input_random_28_150.txt	707
input_random_29_200.txt	484
input_random_30_200.txt	850
input_random_31_200.txt	1382
input_random_32_200.txt	1102
