Nodes	Edges	Times
10	14	518131
10	10	516709
10	12	492935
10	11	442841
20	24	2285176
20	24	3572130
20	27	1802392
20	25	1950327
40	52	11427683
40	54	11199763
40	51	8862316
40	50	10756762
60	82	25680698
60	72	22079649
60	83	24018292
60	79	25185025
80	101	46292319
80	105	45473565
80	108	44699955
80	108	43043427
100	128	89741420
100	120	73634876
100	125	69933466
100	133	71237000
150	197	189145702
150	206	204530768
150	195	181652486
150	198	182444651
200	276	337921300
200	260	314822512
200	269	330157000
200	274	341648365
250	317	513167440
250	322	501204473
250	338	523996034
250	326	510226059
300	403	765804389
300	393	766747234
300	408	772780441
300	411	789984051
350	468	1090126029
350	475	1100571084
350	462	1085261731
350	474	1087881164
400	543	1448661635
400	527	1475037471
400	526	1465068474
400	525	1436686639
450	595	1930149749
450	602	2469175785
450	593	2531677739
450	594	2470543556
500	670	2772590239
500	671	2509621165
500	670	3003611549
500	666	3379591600
